==================================================
SLURM ARRAY TASK ID: 22 / 224
Running on node: x1001c7s1b0n0
Start time: Tue Sep  8 01:09:30 PM EDT 2026
==================================================
Reading parameters from sweep_configs_sweet_spot/config_022.json...
Executing 3D FDTD Simulation: Alpha=70.0 deg, Theta=86.0 deg, d=0.05 um, L=2.0 um, Res=40...
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
  [BOTH] Done moment 1/108 (task 0): force_integral=-1.609990e-02
